ENSG	Gene	NumTypesSig	Types
ENSG00000131174.4	COX7B	30	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000175756.12	AURKAIP1	30	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000168894.8	RNF181	30	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000186010.17	NDUFA13	30	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000119705.8	SLIRP	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD SARC SKCM STAD TGCT THCA THYM UCEC UCS UVM
ENSG00000125743.9	SNRPD2	29	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD THCA THYM UCEC UCS UVM
ENSG00000115350.10	POLE4	29	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000156411.8	ATP5MPL	29	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS UVM
ENSG00000166136.14	NDUFB8	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000149806.9	FAU	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000106803.8	SEC61B	29	BLCA BRCA CESC CHOL COAD ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000174886.11	NDUFA11	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS UVM
ENSG00000118640.9	VAMP8	29	ACC BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC
ENSG00000103363.13	ELOB	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000147123.10	NDUFB11	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000188186.9	LAMTOR4	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000204922.4	UQCC3	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000034510.5	TMSB10	29	ACC BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000262814.5	MRPL12	29	ACC BLCA BRCA CESC CHOL COAD DLBC GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM TGCT THCA THYM UCEC UCS
ENSG00000272288.4	AL451165.2	29	ACC BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC
ENSG00000146066.2	HIGD2A	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000117691.8	NENF	29	ACC BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD THCA THYM UCEC UCS
ENSG00000170906.14	NDUFA3	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS UVM
ENSG00000152082.12	MZT2B	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000205544.3	TMEM256	29	ACC BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000185641.6	AC034236.1	29	BLCA BRCA CESC CHOL DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD SARC SKCM STAD TGCT THCA THYM UCEC UCS UVM
ENSG00000172586.7	CHCHD1	29	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC
ENSG00000198931.9	APRT	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000183011.12	NAA38	29	ACC BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000106400.10	ZNHIT1	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000162910.17	MRPL55	29	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS UVM
ENSG00000150779.10	TIMM8B	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000125995.14	ROMO1	29	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS UVM
ENSG00000099385.10	BCL7C	29	ACC BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000131143.7	COX4I1	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000175701.9	MTLN	29	ACC BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC
ENSG00000164405.9	UQCRQ	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000124172.8	ATP5F1E	29	ACC BLCA BRCA CESC CHOL DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000168653.9	NDUFS5	29	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD SARC SKCM STAD TGCT THCA THYM UCEC UCS UVM
ENSG00000142684.7	ZNF593	29	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000174917.7	MICOS13	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UVM
ENSG00000126756.10	UXT	29	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000140990.13	NDUFB10	29	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000167862.8	MRPL58	29	BLCA BRCA CESC CHOL COAD DLBC GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000099795.5	NDUFB7	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD THCA THYM UCEC UCS
ENSG00000112695.10	COX7A2	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC
ENSG00000204435.12	CSNK2B	28	BLCA BRCA CESC CHOL DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000235043.3	TECRP1	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000177556.10	ATOX1	28	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000183617.4	MRPL54	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000167515.9	TRAPPC2L	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC
ENSG00000130748.6	TMEM160	28	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000172590.17	MRPL52	28	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000221983.6	UBA52	28	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD THCA THYM UCEC UCS
ENSG00000231747.1	AC079922.1	28	ACC BLCA BRCA CESC DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD SARC SKCM STAD TGCT THCA THYM UCEC UVM
ENSG00000103145.9	HCFC1R1	28	ACC BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM TGCT THCA THYM UCEC UVM
ENSG00000167283.6	ATP5MG	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PRAD SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000184983.8	NDUFA6	28	BRCA CESC CHOL COAD ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000142507.8	PSMB6	28	ACC BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000169738.6	DCXR	28	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000159199.12	ATP5MC1	28	BLCA BRCA CESC COAD DLBC GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000197345.11	MRPL21	28	BLCA BRCA CESC CHOL COAD DLBC GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000229833.8	PET100	28	BLCA BRCA CESC DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD SARC SKCM STAD TGCT THCA THYM UCEC UCS UVM
ENSG00000127540.10	UQCR11	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000183648.8	NDUFB1	28	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000166441.11	RPL27A	28	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000128524.4	ATP6V1F	28	BLCA BRCA CESC CHOL COAD ESCA GBM HNSC KIRC KIRP LAML LGG LUAD LUSC MESO OV PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS UVM
ENSG00000167397.13	VKORC1	28	BLCA BRCA CESC CHOL DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000169020.8	ATP5ME	28	BLCA BRCA CESC CHOL DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000228300.12	C19orf24	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM TGCT THCA THYM UCEC UCS
ENSG00000177600.7	RPLP2	28	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000132432.12	SEC61G	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD SARC SKCM STAD THCA THYM UCEC UCS
ENSG00000185608.7	MRPL40	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD THCA THYM UCEC
ENSG00000112514.14	CUTA	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PRAD READ SARC STAD TGCT THCA THYM UCEC UCS
ENSG00000005075.14	POLR2J	28	BLCA BRCA CESC CHOL COAD DLBC GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC
ENSG00000176340.3	COX8A	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000177700.5	POLR2L	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000151366.11	NDUFC2	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LIHC LUAD LUSC MESO OV PCPG PRAD SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000104979.7	C19orf53	28	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD THCA THYM UCEC UCS UVM
ENSG00000170430.9	MGMT	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM TGCT THCA THYM UCEC
ENSG00000168701.17	TMEM208	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC
ENSG00000145494.10	NDUFS6	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000198937.8	CCDC167	28	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM TGCT THCA THYM UCEC UCS
ENSG00000130731.14	METTL26	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000134825.12	TMEM258	28	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000171159.4	C9orf16	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC
ENSG00000224877.3	NDUFAF8	28	ACC BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC
ENSG00000008018.8	PSMB1	28	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000126432.12	PRDX5	28	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000042753.10	AP2S1	28	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM TGCT THCA THYM UCEC UCS
ENSG00000235065.1	RPL24P2	28	ACC BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC
ENSG00000115268.8	RPS15	27	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD THCA THYM UCEC UCS
ENSG00000136942.13	RPL35	27	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA THYM UCEC UCS
ENSG00000074071.12	MRPS34	27	BLCA BRCA CESC CHOL COAD DLBC ESCA GBM HNSC KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PRAD READ SARC SKCM TGCT THCA THYM UCEC UCS
ENSG00000129562.9	DAD1	27	BLCA BRCA CESC COAD DLBC ESCA GBM HNSC KIRC KIRP LAML LGG LUAD LUSC MESO OV PAAD PCPG PRAD SARC SKCM STAD TGCT THCA THYM UCEC UCS
